emp_record_id,person_id,employer,years_exp
EMP-tgpnhfmcri,P-ONAX7TO,EduWorks,25.0
EMP-dw7uguxzy6,P-ONIPLLT,AgriFoods,15.0
EMP-a26ceoce8c,P-OTZ1KDR,TranspoX,7.0
EMP-leth6cur6v,P-OW7QKJM,RetailCo,27.0
EMP-gmzpou8ncj,P-P6GYB56,TechCorp,29.0
EMP-d7mfsjre3i,P-P7EDUW9,EduWorks,11.0
EMP-4u9xbg18dh,P-P7Y7CAK,,
EMP-bmzv2pf4bc,P-P9P82CO,EduWorks,29.0
EMP-4y8mbfvevm,P-PA06GM4,AgriFoods,34.0
EMP-gq3mxelmfc,P-PA8K1Z8,TranspoX,17.0
EMP-5kc3ug4okf,P-PDEYQXV,AgriFoods,19.0
EMP-otz1708w8c,P-PF2OCT4,RetailCo,23.0
EMP-ui31x1yygb,P-PF31Q5Z,RetailCo,16.0
EMP-hs9g6lyzir,P-PF5AL1U,EduWorks,27.0
EMP-y2amfrjl7u,P-PFMLUQX,AgriFoods,24.0
EMP-9ldbhjkaq8,P-PIMVUEZ,EduWorks,28.0
EMP-ctkv4wbzsk,P-PMPESS5,RetailCo,23.0
EMP-kqse88wcm0,P-PN6N7DW,TechCorp,12.0
EMP-3087q7xk7t,P-PNF6FV4,RetailCo,40.0
EMP-gutdf4u9qk,P-PORAXW0,TranspoX,27.0
EMP-oaz4tx0ekg,P-PSDDB8V,AgriFoods,5.0
EMP-n6vdqz88oo,P-PSH6QH5,RetailCo,18.0
EMP-n92gv1u2sj,P-PT828OC,EduWorks,33.0
EMP-g1nz4nnk93,P-PTOJP3Z,TechCorp,32.0
EMP-a8l6h2p0cm,P-PUN75T8,TechCorp,34.0
EMP-dazu1s7elo,P-PXSDC7R,TechCorp,27.0
EMP-493ngm2mbp,P-PYFMCJZ,TranspoX,38.0
EMP-8fgwoglagv,P-PZ2G78G,MediLife,23.0
EMP-gfuvjft2ai,P-Q43RG7S,MediLife,24.0
EMP-8zvnpa9860,P-Q7IDO0U,MediLife,19.0
EMP-bsxsjp22m8,P-Q8NKMS6,TranspoX,7.0
EMP-1wh3h3uzx4,P-Q8TBA2W,TranspoX,40.0
EMP-2ph4jxdoif,P-QC0JVQR,,
EMP-j755fteh4g,P-QCLL57Z,RetailCo,32.0
EMP-58pzi3r0tw,P-QCW53SA,RetailCo,10.0
EMP-8e22ad97rb,P-QE98FTB,AgriFoods,26.0
EMP-xcpn10z6lw,P-QEJ1MPO,RetailCo,29.0
EMP-eq5n1gal7e,P-QEOR04Y,TranspoX,23.0
EMP-lkgemxdkzw,P-QJHVMHU,MediLife,20.0
EMP-1pingkm3hp,P-QJPJK56,AgriFoods,32.0
EMP-tb7uvohpye,P-QLZCL3B,TranspoX,32.0
EMP-xlvhz61pyi,P-QMRCA55,AgriFoods,21.0
EMP-taj1mz0nbg,P-QN0EXT6,TranspoX,40.0
EMP-llx4igaen5,P-QN9JGW5,TechCorp,37.0
EMP-vgz8sc89zw,P-QNBUMWV,EduWorks,23.0
EMP-qhdys47hk2,P-QNMX3YU,TranspoX,26.0
EMP-lwrba8whde,P-QP98P7B,AgriFoods,9.0
EMP-4i4d74rj7l,P-QQAMHYV,RetailCo,12.0
EMP-lqa46uc8vo,P-QRZAKDT,MediLife,33.0
EMP-ntxbn71god,P-QZQUSIL,EduWorks,26.0
EMP-cz9yly5evg,P-R06H5R7,EduWorks,10.0
EMP-vzqsf04nb3,P-R1CY5JZ,RetailCo,1.0
EMP-nc7bxwddle,P-R2S0TW9,MediLife,32.0
EMP-pjjhq5ro4b,P-R3SNRBC,AgriFoods,8.0
EMP-cpg3v7v72j,P-R48R5WG,AgriFoods,37.0
EMP-labhzhyh7n,P-R4U8K7H,TranspoX,19.0
EMP-8m5o93qprm,P-R6PTI3T,RetailCo,19.0
EMP-kr4fgtxzxn,P-R8DK9RF,MediLife,5.0
EMP-kb5lajsn4g,P-R9SRT6N,TechCorp,33.0
EMP-ib6risajph,P-RAXR3YU,AgriFoods,30.0
EMP-0oyzr9ha96,P-RAZOGSV,RetailCo,23.0
EMP-zuu96f0oju,P-RC3VVNP,EduWorks,31.0
EMP-wn5eqx2tqh,P-RDI7QJG,EduWorks,3.0
EMP-cbr3hitond,P-RDZOVT1,EduWorks,29.0
EMP-x0f6yyysuz,P-RE38AZX,MediLife,22.0
EMP-lgf1zf843c,P-REMG1WL,RetailCo,17.0
EMP-04ke3ip5m4,P-RJBDTWT,RetailCo,33.0
EMP-fjluicnzta,P-RKFLMCR,EduWorks,15.0
EMP-uiqwh3wsvb,P-RL8B655,MediLife,32.0
EMP-83ff1d5g4d,P-RNETKJG,TranspoX,9.0
EMP-zj8wqai6mg,P-RNY6CDH,AgriFoods,38.0
EMP-tsmqh6mce1,P-ROB5GP1,AgriFoods,24.0
EMP-7tpt6frzgp,P-RQ39LJ4,MediLife,12.0
EMP-hd7ycl9tm8,P-RTK54M9,,
EMP-s0up0l6e5f,P-RTTJ7AG,TranspoX,38.0
EMP-r77510on2a,P-RUALGD4,AgriFoods,10.0
EMP-3quzm0dg4u,P-RX3Q3QE,EduWorks,12.0
EMP-db0eipf93s,P-S1SXW8I,EduWorks,32.0
EMP-wiq0h2t75z,P-S2Y6258,EduWorks,40.0
EMP-pkappa9g7t,P-S5X6VYR,AgriFoods,18.0
EMP-2xjeaucd3c,P-S7ZFK8W,TechCorp,9.0
EMP-h3qnixqv0x,P-S8OR7ZZ,EduWorks,38.0
EMP-sgnp23rgkd,P-S8YPJLG,RetailCo,4.0
EMP-6xbajsqxb6,P-SA21JXB,TechCorp,38.0
EMP-4888pyjufv,P-SA7H6VM,TechCorp,39.0
EMP-o501i6aowt,P-SAQCVQL,TranspoX,25.0
EMP-r2ukq4fd4u,P-SAVRATQ,RetailCo,16.0
EMP-a3srutq0hc,P-SBL85Y2,TranspoX,20.0
EMP-4rhpxkbg4n,P-SBQSUC8,RetailCo,22.0
EMP-wdgx0agcx1,P-SBXS7I4,AgriFoods,27.0
EMP-w9739yitvw,P-SD9RAXN,EduWorks,12.0
EMP-mgjn3f0baq,P-SDIK03O,TranspoX,16.0
EMP-tko0w40wcf,P-SFHEGLY,MediLife,38.0
EMP-kw90gx84t2,P-SFRSE0G,AgriFoods,30.0
EMP-sqqxfhpdnn,P-SGBKOMY,EduWorks,21.0
EMP-k2uijl8n2c,P-SGWBAMG,AgriFoods,10.0
EMP-od1g595lhb,P-SIMI8JT,AgriFoods,12.0
EMP-j4xglyo52b,P-SK1RTXY,TranspoX,23.0
EMP-rqt3xtirsi,P-SL2BCLN,AgriFoods,12.0
EMP-w68xiwsgma,P-SL81RE7,AgriFoods,1.0
EMP-k91g8ktkh3,P-SLUZECY,MediLife,26.0
EMP-k5l5cal3pz,P-SMYL101,MediLife,3.0
EMP-pqsdjl89xs,P-SNKGMHA,RetailCo,15.0
EMP-yu3qv1ebor,P-SPCYILU,,
EMP-holn9hptwg,P-SRBN4X8,TranspoX,17.0
EMP-q6ni3q0jlw,P-SSK3QOL,MediLife,12.0
EMP-jt7zen5vcr,P-SX8O7BQ,EduWorks,34.0
EMP-dfwl9cppo7,P-SXCDUZO,TranspoX,27.0
EMP-fibuxe7kob,P-SYNTGGA,TranspoX,39.0
EMP-j98tby8ofv,P-T030DOJ,TranspoX,11.0
EMP-fz8b8qt5p2,P-T1188CB,TranspoX,39.0
EMP-w6ztnxx0ps,P-T2GCJE4,TechCorp,6.0
EMP-22ulph36ev,P-T2P2Q5L,TranspoX,14.0
EMP-l8jfbb36yu,P-T4H6L6F,TranspoX,32.0
EMP-ing07wes92,P-T4Z1O7C,TranspoX,15.0
EMP-iv5ofwiu4p,P-T64VLFG,AgriFoods,17.0
EMP-otacyowui8,P-T8DSGYE,RetailCo,40.0
EMP-hgyxgzybgq,P-TAZBMBO,RetailCo,12.0
EMP-3r95fjb089,P-TCGCGQR,RetailCo,33.0
EMP-ovxm1m9uuw,P-TE0U6VV,EduWorks,32.0
EMP-v1aec0hk65,P-TFAOOPM,TranspoX,15.0
EMP-wyzapfsxep,P-TG7RQBS,AgriFoods,35.0
EMP-y7hz6a8tmf,P-TI5Y42L,EduWorks,9.0
EMP-cf4d2jwbd8,P-TIOKMEZ,AgriFoods,9.0
EMP-7bxejswzvo,P-TJ9I1B9,TranspoX,36.0
EMP-r7gt27h006,P-TJBOWWO,TechCorp,24.0
EMP-s2xkvuff50,P-TM3G1F5,MediLife,22.0
EMP-sbxnclz386,P-TMJLAGC,TechCorp,33.0
EMP-vf9wzg5b13,P-TNF72A7,RetailCo,7.0
EMP-34bs59urib,P-TNGMBLP,TranspoX,23.0
EMP-tek662vfg7,P-TOGI4RT,TranspoX,3.0
EMP-2g5i86mhml,P-TS76PRG,TranspoX,6.0
EMP-96hwr5cf9b,P-TTCG6GK,TechCorp,13.0
EMP-wsrktczy44,P-TU0AA5M,AgriFoods,12.0
EMP-1e82ux2q8a,P-TVYYY76,RetailCo,1.0
EMP-7y6zgzfegr,P-TWDQZM9,TechCorp,20.0
EMP-ze7evzg52h,P-TYLMD7H,MediLife,13.0
EMP-sj6lyn1haf,P-U0SADE1,RetailCo,19.0
EMP-ly4fwc8bye,P-U16Q7PY,RetailCo,38.0
EMP-s3yza2c51c,P-U3XGPFE,TranspoX,8.0
EMP-nrh940yhg6,P-U3XJDC8,EduWorks,10.0
EMP-kbxm7pb8xt,P-U68KMZM,TranspoX,5.0
EMP-2hkqhuqy1w,P-U8HYSLA,MediLife,20.0
EMP-vzrqp8gj6g,P-U8OQIPA,EduWorks,20.0
EMP-p5d3i0dhi7,P-U8OUME3,EduWorks,7.0
EMP-akgx4ylb0i,P-UAPL735,MediLife,4.0
EMP-n6cw149vwi,P-UB2CVX2,TranspoX,2.0
EMP-p9eaic5nlh,P-UBRJH5S,RetailCo,25.0
EMP-lwrvc5e5qi,P-UDVM4XJ,TechCorp,7.0
EMP-pspeymelqc,P-UEKO9V2,EduWorks,9.0
EMP-38vuk2ub87,P-UGRNHTN,RetailCo,4.0
EMP-al8zm3uhix,P-UHXVK7C,AgriFoods,30.0
EMP-ofrljw70hm,P-UN1TGQF,AgriFoods,25.0
EMP-159jnw4ovu,P-UQ5GH6S,AgriFoods,3.0
EMP-xy23y49rq9,P-UR7WBHB,AgriFoods,30.0
EMP-8mtws3kztt,P-UULJX8R,EduWorks,27.0
EMP-nyfnuox7wf,P-UWHAY1C,TechCorp,38.0
EMP-yh7z5deh6r,P-UY8WS4L,TechCorp,7.0
EMP-l2eidy7gss,P-UYVHC7Q,RetailCo,9.0
EMP-fw13oy5rg8,P-UZ9IDN9,MediLife,40.0
EMP-8d0029qt17,P-V0OQ4EU,EduWorks,5.0
EMP-59byx9ygoa,P-V0XISFC,AgriFoods,34.0
EMP-s8xvq1redu,P-V543E9P,TranspoX,21.0
EMP-ujpd62npv0,P-V6KKVLL,,
EMP-mfttznzyeu,P-V79SQTG,EduWorks,10.0
EMP-alzbueu37m,P-V8R9897,AgriFoods,27.0
EMP-jyjnblfc8j,P-VE5GJC2,AgriFoods,4.0
EMP-noh7gsp8nf,P-VHCB07E,AgriFoods,35.0
EMP-ask2a8bk3j,P-VJFAOT9,TechCorp,16.0
EMP-txm1fiules,P-VOWWVXD,MediLife,21.0
EMP-5ipnr7v25d,P-VSL6TJ7,EduWorks,31.0
EMP-au6ud6xdw3,P-VV5PA5M,TechCorp,8.0
EMP-hdheq8980w,P-VWQ53X5,RetailCo,5.0
EMP-4jd2ovt4b7,P-VXS1TNN,TechCorp,35.0
EMP-ijsn1v1j8c,P-VYYYCPJ,MediLife,10.0
EMP-zsgzs1j0i3,P-W04FQ85,EduWorks,16.0
EMP-5eq9wm3na9,P-W0CZY7U,MediLife,36.0
EMP-2xnj4dulz0,P-W1NU7VJ,TranspoX,29.0
EMP-5fckrlmhss,P-W5DJB1H,AgriFoods,3.0
EMP-q59midvdor,P-W6UMUTT,TechCorp,4.0
EMP-9lkudv5v2c,P-W76J767,MediLife,23.0
EMP-9ee5zwjr3z,P-W8C8WSN,MediLife,21.0
EMP-q9gyn4nlqq,P-W98FECO,TranspoX,4.0
EMP-o9najn6apf,P-W9L4OJN,TechCorp,15.0
EMP-g4fr3zbcjs,P-W9URU05,AgriFoods,37.0
EMP-13h1za8w5t,P-WB3X8ND,RetailCo,24.0
EMP-fi6lmsh3m4,P-WDPGOJ4,AgriFoods,4.0
EMP-r0v0ckeoop,P-WGBJKT1,,
EMP-7dlbuzcktp,P-WGHHHMH,TechCorp,28.0
EMP-adr3z78cun,P-WNXIT1A,MediLife,25.0
EMP-2w3t2wy8qd,P-WOMOYKB,AgriFoods,34.0
EMP-72rkvnsrll,P-WPA35Y7,TechCorp,8.0
EMP-fm4hctc6g5,P-WPFU4XX,MediLife,3.0
EMP-tkstzgw6qz,P-WQOGFAO,AgriFoods,39.0
EMP-y67gvvwgt8,P-WS9HEZ6,EduWorks,21.0
EMP-wegmeg2v8d,P-WSDJMLV,MediLife,3.0
EMP-87kmgmjig8,P-WV4TJLE,MediLife,9.0
EMP-3em4ajh66s,P-WVLQI5B,MediLife,33.0
EMP-hh5zrd9lgo,P-WVOJDU6,TranspoX,24.0
EMP-0719wvyphs,P-WVPZHS6,AgriFoods,2.0
EMP-t5bd4r5wkc,P-WVQCR6H,TechCorp,26.0
EMP-f0mhuvwr40,P-WW8QCB2,EduWorks,30.0
EMP-8d1ge1z6nj,P-WWMNE9T,TechCorp,36.0
EMP-m0wdorp6sc,P-WY50XFU,TechCorp,27.0
EMP-i1t9r0dtzh,P-X57D2DU,EduWorks,27.0
EMP-36fowxxiea,P-X835YHX,TechCorp,7.0
EMP-r95crk08tl,P-X9F5GN3,TranspoX,28.0
EMP-trrfpvcbs1,P-XB7RRDY,EduWorks,11.0
EMP-020b5ofzcu,P-XBX2IGZ,TechCorp,14.0
EMP-4wq9uogsh0,P-XFXRDKE,EduWorks,37.0
EMP-p5853ktzn1,P-XG1BSRZ,TranspoX,36.0
EMP-rveecwj8ox,P-XJJWCHQ,TranspoX,15.0
EMP-nj143fajus,P-XJT929T,TranspoX,7.0
EMP-rbrj40l5sr,P-XNY7X1N,AgriFoods,35.0
EMP-j4tzyp4vav,P-XOSO1QV,RetailCo,30.0
EMP-vtuxjxb742,P-XPY5CYE,MediLife,3.0
EMP-fl4dbg3jjx,P-XTIU0IZ,EduWorks,12.0
EMP-9o2haz11b0,P-XUEAI6Q,MediLife,10.0
EMP-rxjd1phs6q,P-XVT5T6F,,
EMP-5i4uui0skq,P-XY17KIU,RetailCo,24.0
EMP-l8b9666oyx,P-Y3LDXJP,TranspoX,15.0
EMP-28ln93ffpd,P-Y4DEJ7D,AgriFoods,11.0
EMP-zfhhiqq55x,P-Y8YHVBJ,AgriFoods,12.0
EMP-f7c6h3bn25,P-YA7UMS8,MediLife,40.0
EMP-bmltifv6bd,P-YAOLE0I,MediLife,39.0
EMP-c17ntnvh0k,P-YBM897V,MediLife,16.0
EMP-s9y2etzq3p,P-YCVT0F4,TechCorp,20.0
EMP-6jh3wgktyt,P-YDK8U8X,TechCorp,39.0
EMP-d9c4ifynz7,P-YE5LHS2,AgriFoods,35.0
EMP-luxhivqz3e,P-YEOQGPP,MediLife,4.0
EMP-wj26kki7x4,P-YEUK2QV,TranspoX,21.0
EMP-oj1s3nk6yr,P-YEUX1TT,EduWorks,28.0
EMP-f72l1u4pbm,P-YEXGOGB,TranspoX,40.0
EMP-42zsvoc2yf,P-YL6HXX1,EduWorks,31.0
EMP-fms6tlnvyl,P-YL6ULPG,EduWorks,36.0
EMP-rxszvwymg5,P-YLQMQSP,AgriFoods,17.0
EMP-3hyp2o3oks,P-YM6JOXW,MediLife,15.0
EMP-t2mww43sgg,P-YMQCQII,TechCorp,21.0
EMP-t1poax0xt0,P-YNJNXTP,,
EMP-rjels74tqd,P-YO2XEQ8,EduWorks,23.0
EMP-gtt7go2j7c,P-YPR6VY6,RetailCo,1.0
EMP-1bdk24dben,P-YPT5E77,AgriFoods,16.0
EMP-82yjdfm5z2,P-YQFS8PZ,MediLife,3.0
EMP-rurdqnlbo5,P-YQWAA3M,TranspoX,6.0
EMP-6idoy0ffrw,P-YRG7W6F,TechCorp,37.0
EMP-i5vw6k9pyx,P-YSTYHYL,TranspoX,37.0
EMP-35kapzpryr,P-YTUARUB,TranspoX,17.0
EMP-8roui1rq2b,P-YVEEJJL,RetailCo,18.0
EMP-6dwcino86g,P-YYQVWTV,EduWorks,12.0
EMP-e66ckc3o43,P-Z1CL8SB,TranspoX,16.0
EMP-9heydi4l20,P-Z2TDCBI,TechCorp,11.0
EMP-o7k331887e,P-Z4IPZC8,AgriFoods,9.0
EMP-fn2v4jlw1m,P-Z68NXRN,AgriFoods,16.0
EMP-uz6yzqbsh1,P-Z6S4ZU6,AgriFoods,23.0
EMP-hhs7lrs0g5,P-Z6ZGR00,EduWorks,23.0
EMP-gwkhjaloen,P-Z7KEJ27,,
EMP-btcommuaw9,P-ZA4TD33,AgriFoods,28.0
EMP-15tq7of79o,P-ZA5K9YA,MediLife,22.0
EMP-9dnec34khh,P-ZB4RD7R,RetailCo,26.0
EMP-kemqccgvl0,P-ZBY3UVU,AgriFoods,22.0
EMP-4ozianbral,P-ZC7HMZU,AgriFoods,1.0
EMP-ea9a1vfbj6,P-ZLJBJJB,,
EMP-jje5ljr24c,P-ZLZKPB3,TechCorp,8.0
EMP-l6qv26rg3s,P-ZM6U4CM,TranspoX,39.0
EMP-5mehpi04f9,P-ZO4FSRS,MediLife,11.0
EMP-9tk5stuhzj,P-ZP595DR,TranspoX,39.0
EMP-o86ysidshq,P-ZPV112W,TechCorp,11.0
EMP-clnun313lg,P-ZROFJ58,RetailCo,5.0
EMP-611x5zkdmt,P-ZUO282K,EduWorks,30.0
EMP-iztu0ynpb2,P-ZVFBX6L,EduWorks,17.0
EMP-8xpg9yaqxx,P-ZW5EBH6,EduWorks,30.0
EMP-jlv5zkswgl,P-ZXVWO33,MediLife,27.0
